"lat","lon","year","pop1","citystate","murder_per100k"
46.8083268,-100.7837392,1993,51400,"Bismarck ND",0
46.8083268,-100.7837392,1995,52839,"Bismarck ND",0
46.8083268,-100.7837392,1994,51642,"Bismarck ND",0
46.8083268,-100.7837392,1997,52838,"Bismarck ND",0
45.1607987,-93.2349489,2004,50839,"Blaine MN",0
45.1607987,-93.2349489,2010,57186,"Blaine MN",0
45.1607987,-93.2349489,2005,52462,"Blaine MN",0
40.8067546,-74.1854209,1963,52490,"Bloomfield NJ",0
40.8067546,-74.1854209,1975,51485,"Bloomfield NJ",0
40.8067546,-74.1854209,1961,51867,"Bloomfield NJ",0
40.8067546,-74.1854209,1972,53111,"Bloomfield NJ",0
40.8067546,-74.1854209,1962,52075,"Bloomfield NJ",0
40.8067546,-74.1854209,1960,51867,"Bloomfield NJ",0
40.4842027,-88.9936873,1996,56018,"Bloomington IL",0
40.4842027,-88.9936873,1995,55938,"Bloomington IL",0
40.4842027,-88.9936873,2003,67700,"Bloomington IL",0
40.4842027,-88.9936873,1999,59247,"Bloomington IL",0
40.4842027,-88.9936873,2000,64808,"Bloomington IL",0
40.4842027,-88.9936873,1998,58591,"Bloomington IL",0
40.4842027,-88.9936873,1997,56249,"Bloomington IL",0
40.4842027,-88.9936873,2005,69553,"Bloomington IL",0
40.4842027,-88.9936873,2001,65137,"Bloomington IL",0
40.4842027,-88.9936873,2004,68832,"Bloomington IL",0
40.4842027,-88.9936873,1993,54533,"Bloomington IL",0
40.4842027,-88.9936873,1994,54789,"Bloomington IL",0
40.4842027,-88.9936873,2002,65755,"Bloomington IL",0
39.165325,-86.5263857,1979,51024,"Bloomington IN",0
39.165325,-86.5263857,1983,52036,"Bloomington IN",0
39.165325,-86.5263857,1997,63777,"Bloomington IN",0
39.165325,-86.5263857,2003,70403,"Bloomington IN",0
39.165325,-86.5263857,2004,71120,"Bloomington IN",0
39.165325,-86.5263857,1984,53147,"Bloomington IN",0
39.165325,-86.5263857,1991,61353,"Bloomington IN",0
39.165325,-86.5263857,1990,60633,"Bloomington IN",0
39.165325,-86.5263857,2005,69158,"Bloomington IN",0
39.165325,-86.5263857,1989,55205,"Bloomington IN",0
39.165325,-86.5263857,1994,62524,"Bloomington IN",0
39.165325,-86.5263857,1982,51961,"Bloomington IN",0
39.165325,-86.5263857,1980,51867,"Bloomington IN",0
39.165325,-86.5263857,1998,67300,"Bloomington IN",0
39.165325,-86.5263857,1993,62100,"Bloomington IN",0
39.165325,-86.5263857,1988,53901,"Bloomington IN",0
39.165325,-86.5263857,1996,63527,"Bloomington IN",0
39.165325,-86.5263857,2000,69291,"Bloomington IN",0
44.840798,-93.2982799,1990,86335,"Bloomington MN",0
44.840798,-93.2982799,1971,84000,"Bloomington MN",0
44.840798,-93.2982799,1992,88405,"Bloomington MN",0
44.840798,-93.2982799,1966,66542,"Bloomington MN",0
44.840798,-93.2982799,2000,85172,"Bloomington MN",0
44.840798,-93.2982799,1981,82218,"Bloomington MN",0
44.840798,-93.2982799,1969,83400,"Bloomington MN",0
44.840798,-93.2982799,1961,50498,"Bloomington MN",0
44.840798,-93.2982799,1984,83827,"Bloomington MN",0
44.840798,-93.2982799,1997,87404,"Bloomington MN",0
44.840798,-93.2982799,1996,86882,"Bloomington MN",0
44.840798,-93.2982799,1968,82000,"Bloomington MN",0
44.840798,-93.2982799,1970,81970,"Bloomington MN",0
44.840798,-93.2982799,1965,66542,"Bloomington MN",0
44.840798,-93.2982799,2004,83763,"Bloomington MN",0
44.840798,-93.2982799,1978,78790,"Bloomington MN",0
44.840798,-93.2982799,2010,82893,"Bloomington MN",0
44.840798,-93.2982799,1974,85600,"Bloomington MN",0
44.840798,-93.2982799,1985,84455,"Bloomington MN",0
44.840798,-93.2982799,2007,80218,"Bloomington MN",0
39.0169509,-94.2816148,2010,52575,"Blue Springs MO",0
39.0169509,-94.2816148,2007,54718,"Blue Springs MO",0
39.0169509,-94.2816148,2009,56567,"Blue Springs MO",0
26.3683064,-80.1289321,2005,79831,"Boca Raton FL",0
26.3683064,-80.1289321,1985,58122,"Boca Raton FL",0
26.3683064,-80.1289321,1988,62981,"Boca Raton FL",0
26.3683064,-80.1289321,1992,64105,"Boca Raton FL",0
26.3683064,-80.1289321,1997,69759,"Boca Raton FL",0
43.6187102,-116.2146068,2004,193864,"Boise ID",0
43.6187102,-116.2146068,1986,107434,"Boise ID",0
41.6986416,-88.0683955,1998,53747,"Bolingbrook IL",0
41.6986416,-88.0683955,2005,64561,"Bolingbrook IL",0
41.6986416,-88.0683955,2001,54850,"Bolingbrook IL",0
41.6986416,-88.0683955,2006,66773,"Bolingbrook IL",0
41.6986416,-88.0683955,2002,55371,"Bolingbrook IL",0
41.6986416,-88.0683955,1999,54662,"Bolingbrook IL",0
41.6986416,-88.0683955,2000,54573,"Bolingbrook IL",0
41.6986416,-88.0683955,2004,64545,"Bolingbrook IL",0
41.6986416,-88.0683955,2003,61184,"Bolingbrook IL",0
41.6986416,-88.0683955,2008,70355,"Bolingbrook IL",0
32.5159852,-93.7321228,2005,59715,"Bossier City LA",0
40.0149856,-105.2705456,1999,92485,"Boulder CO",0
40.0149856,-105.2705456,1973,81039,"Boulder CO",0
40.0149856,-105.2705456,2000,94673,"Boulder CO",0
40.0149856,-105.2705456,1971,69000,"Boulder CO",0
40.0149856,-105.2705456,1974,82522,"Boulder CO",0
40.0149856,-105.2705456,1989,76358,"Boulder CO",0
40.0149856,-105.2705456,1979,81086,"Boulder CO",0
40.0149856,-105.2705456,1986,79875,"Boulder CO",0
40.0149856,-105.2705456,2004,94088,"Boulder CO",0
40.0149856,-105.2705456,1984,81056,"Boulder CO",0
40.0149856,-105.2705456,2003,95089,"Boulder CO",0
40.0149856,-105.2705456,1972,74692,"Boulder CO",0
40.0149856,-105.2705456,2005,93474,"Boulder CO",0
39.0067768,-76.7791365,2008,53311,"Bowie MD",0
39.0067768,-76.7791365,2007,53672,"Bowie MD",0
39.0067768,-76.7791365,2009,52577,"Bowie MD",0
36.9685219,-86.4808043,2008,54865,"Bowling Green KY",0
36.9685219,-86.4808043,2010,58067,"Bowling Green KY",0
26.5317866,-80.0905465,1996,52871,"Boynton Beach FL",0
37.931868,-121.6957863,2008,52741,"Brentwood CA",0
37.931868,-121.6957863,2010,51481,"Brentwood CA",0
37.931868,-121.6957863,2007,52238,"Brentwood CA",0
41.6717648,-72.9492703,1971,57175,"Bristol CT",0
41.6717648,-72.9492703,1994,61070,"Bristol CT",0
41.6717648,-72.9492703,1978,57413,"Bristol CT",0
41.6717648,-72.9492703,1980,57177,"Bristol CT",0
41.6717648,-72.9492703,1974,54500,"Bristol CT",0
41.6717648,-72.9492703,1976,57450,"Bristol CT",0
41.6717648,-72.9492703,1965,51300,"Bristol CT",0
41.6717648,-72.9492703,1987,59352,"Bristol CT",0
41.6717648,-72.9492703,1964,50426,"Bristol CT",0
41.6717648,-72.9492703,1996,60628,"Bristol CT",0
41.6717648,-72.9492703,2004,61075,"Bristol CT",0
41.6717648,-72.9492703,1989,60773,"Bristol CT",0
41.6717648,-72.9492703,1986,58708,"Bristol CT",0
41.6717648,-72.9492703,1975,54072,"Bristol CT",0
41.6717648,-72.9492703,1992,60526,"Bristol CT",0
41.6717648,-72.9492703,2007,61292,"Bristol CT",0
41.6717648,-72.9492703,1990,60640,"Bristol CT",0
42.0834335,-71.0183787,1982,95863,"Brockton MA",0
42.0834335,-71.0183787,1960,72813,"Brockton MA",0
42.0834335,-71.0183787,1973,94300,"Brockton MA",0
42.0834335,-71.0183787,1990,92788,"Brockton MA",0
42.0834335,-71.0183787,1978,95787,"Brockton MA",0
36.060949,-95.7974526,1990,58043,"Broken Arrow OK",0
36.060949,-95.7974526,1996,66545,"Broken Arrow OK",0
36.060949,-95.7974526,1991,58585,"Broken Arrow OK",0
36.060949,-95.7974526,1989,53702,"Broken Arrow OK",0
36.060949,-95.7974526,1992,59267,"Broken Arrow OK",0
36.060949,-95.7974526,2005,72263,"Broken Arrow OK",0
36.060949,-95.7974526,1995,66082,"Broken Arrow OK",0
36.060949,-95.7974526,1994,63766,"Broken Arrow OK",0
36.060949,-95.7974526,1997,66867,"Broken Arrow OK",0
36.060949,-95.7974526,1993,63238,"Broken Arrow OK",0
42.3317642,-71.1211635,2010,58732,"Brookline MA",0
42.3317642,-71.1211635,1990,54718,"Brookline MA",0
42.3317642,-71.1211635,2004,56493,"Brookline MA",0
42.3317642,-71.1211635,2005,56032,"Brookline MA",0
42.3317642,-71.1211635,1978,51116,"Brookline MA",0
42.3317642,-71.1211635,1985,54428,"Brookline MA",0
42.3317642,-71.1211635,1992,54549,"Brookline MA",0
42.3317642,-71.1211635,1981,55126,"Brookline MA",0
42.3317642,-71.1211635,1984,54625,"Brookline MA",0
42.3317642,-71.1211635,1995,56367,"Brookline MA",0
42.3317642,-71.1211635,1975,59999,"Brookline MA",0
42.3317642,-71.1211635,1988,53179,"Brookline MA",0
42.3317642,-71.1211635,2000,57107,"Brookline MA",0
42.3317642,-71.1211635,2008,54527,"Brookline MA",0
42.3317642,-71.1211635,1996,56533,"Brookline MA",0
42.3317642,-71.1211635,1991,54532,"Brookline MA",0
42.3317642,-71.1211635,1973,63652,"Brookline MA",0
42.3317642,-71.1211635,2009,55400,"Brookline MA",0
42.3317642,-71.1211635,1976,51332,"Brookline MA",0
42.3317642,-71.1211635,1999,54157,"Brookline MA",0
42.3317642,-71.1211635,2001,57379,"Brookline MA",0
45.0941315,-93.3563405,1986,50981,"Brooklyn Park MN",0
45.0941315,-93.3563405,1996,59956,"Brooklyn Park MN",0
45.0941315,-93.3563405,1991,57114,"Brooklyn Park MN",0
45.0941315,-93.3563405,1994,58670,"Brooklyn Park MN",0
45.0941315,-93.3563405,2009,71740,"Brooklyn Park MN",0
45.0941315,-93.3563405,1990,56381,"Brooklyn Park MN",0
45.0941315,-93.3563405,1988,54736,"Brooklyn Park MN",0
45.0941315,-93.3563405,2000,67388,"Brooklyn Park MN",0
39.9205411,-105.0866504,2008,55820,"Broomfield CO",0
30.6743643,-96.3699632,2004,68912,"Bryan TX",0
33.8675143,-117.9981181,2010,80530,"Buena Park CA",0
