"lat","long","year","pop1","citystate","rape_per100k"
40.03,-105.25,1972,74692,"Boulder CO",0
38.96,-76.74,2007,53672,"Bowie MD",0
26.53,-80.08,1996,52871,"Boynton Beach FL",0
41.68,-72.94,1981,57856,"Bristol CT",0
42.08,-71.03,1990,92788,"Brockton MA",0
42.32,-71.14,1966,54500,"Brookline MA",0
42.32,-71.14,1960,54044,"Brookline MA",0
45.11,-93.35,1993,58028,"Brooklyn Park MN",0
45.11,-93.35,2007,70112,"Brooklyn Park MN",0
45.11,-93.35,2008,71891,"Brooklyn Park MN",0
45.11,-93.35,2006,69008,"Brooklyn Park MN",0
25.93,-97.48,1972,53684,"Brownsville TX",0
25.93,-97.48,1969,51942,"Brownsville TX",0
25.93,-97.48,1970,52522,"Brownsville TX",0
25.93,-97.48,1975,70963,"Brownsville TX",0
44.76,-93.28,2006,59554,"Burnsville MN",0
44.76,-93.28,2007,59127,"Burnsville MN",0
44.76,-93.28,2008,58974,"Burnsville MN",0
44.76,-93.28,1993,54331,"Burnsville MN",0
34.22,-119.03,1996,57540,"Camarillo CA",0
40.81,-81.37,1999,79592,"Canton OH",0
40.81,-81.37,2003,79873,"Canton OH",0
26.64,-82,1996,87690,"Cape Coral FL",0
26.64,-82,1988,54556,"Cape Coral FL",0
33.84,-118.26,1968,61125,"Carson CA",0
33.84,-118.26,1970,71150,"Carson CA",0
33.84,-118.26,1969,68506,"Carson CA",0
41.97,-91.67,1991,109465,"Cedar Rapids IA",0
41.97,-91.67,1992,110130,"Cedar Rapids IA",0
41.97,-91.67,1998,114996,"Cedar Rapids IA",0
41.97,-91.67,1995,113959,"Cedar Rapids IA",0
41.97,-91.67,1993,112096,"Cedar Rapids IA",0
41.97,-91.67,1994,112693,"Cedar Rapids IA",0
41.97,-91.67,1997,114360,"Cedar Rapids IA",0
41.97,-91.67,1996,114360,"Cedar Rapids IA",0
40.11,-88.26,2006,71953,"Champaign IL",0
40.11,-88.26,1998,64997,"Champaign IL",0
40.11,-88.26,1991,64126,"Champaign IL",0
40.11,-88.26,2000,67518,"Champaign IL",0
40.11,-88.26,1997,67707,"Champaign IL",0
40.11,-88.26,1992,64614,"Champaign IL",0
40.11,-88.26,2003,69735,"Champaign IL",0
40.11,-88.26,1995,67332,"Champaign IL",0
40.11,-88.26,2001,67861,"Champaign IL",0
40.11,-88.26,1996,67428,"Champaign IL",0
40.11,-88.26,2009,80467,"Champaign IL",0
40.11,-88.26,2008,76187,"Champaign IL",0
40.11,-88.26,1999,64723,"Champaign IL",0
40.11,-88.26,1994,65119,"Champaign IL",0
40.11,-88.26,2007,74167,"Champaign IL",0
40.11,-88.26,2005,70581,"Champaign IL",0
40.11,-88.26,2004,72300,"Champaign IL",0
40.11,-88.26,1988,59533,"Champaign IL",0
40.11,-88.26,1990,63502,"Champaign IL",0
40.11,-88.26,1987,59353,"Champaign IL",0
40.11,-88.26,2002,68504,"Champaign IL",0
40.11,-88.26,1993,64815,"Champaign IL",0
40.11,-88.26,1989,59363,"Champaign IL",0
40.11,-88.26,1986,60572,"Champaign IL",0
42.91,-78.75,1961,52362,"Cheektowaga NY",0
42.91,-78.75,1962,73101,"Cheektowaga NY",0
42.91,-78.75,1964,81021,"Cheektowaga NY",0
36.68,-76.31,2001,202257,"Chesapeake VA",0
41.84,-87.68,2006,2857426,"Chicago IL",0
41.84,-87.68,1997,2765852,"Chicago IL",0
41.84,-87.68,1994,2802494,"Chicago IL",0
41.84,-87.68,2010,2695598,"Chicago IL",0
41.84,-87.68,2000,2896014,"Chicago IL",0
41.84,-87.68,2004,2882515,"Chicago IL",0
41.84,-87.68,1990,2783726,"Chicago IL",0
41.84,-87.68,2007,2823905,"Chicago IL",0
41.84,-87.68,2002,2938297,"Chicago IL",0
41.84,-87.68,1993,2788996,"Chicago IL",0
41.84,-87.68,1996,2754118,"Chicago IL",0
41.84,-87.68,1988,2994100,"Chicago IL",0
41.84,-87.68,1999,2821032,"Chicago IL",0
41.84,-87.68,1995,2749811,"Chicago IL",0
41.84,-87.68,1984,3012524,"Chicago IL",0
41.84,-87.68,2005,2873130,"Chicago IL",0
41.84,-87.68,1986,3003105,"Chicago IL",0
41.84,-87.68,1992,2832901,"Chicago IL",0
41.84,-87.68,1998,2750917,"Chicago IL",0
41.84,-87.68,2009,2847640,"Chicago IL",0
41.84,-87.68,1987,3018338,"Chicago IL",0
41.84,-87.68,2001,2910707,"Chicago IL",0
41.84,-87.68,2008,2828640,"Chicago IL",0
41.84,-87.68,1989,2988260,"Chicago IL",0
41.84,-87.68,1991,2811478,"Chicago IL",0
41.84,-87.68,2003,2898224,"Chicago IL",0
42.18,-72.57,1963,64360,"Chicopee MA",0
42.18,-72.57,1965,58377,"Chicopee MA",0
42.18,-72.57,1989,57880,"Chicopee MA",0
42.18,-72.57,1962,63256,"Chicopee MA",0
42.18,-72.57,1992,56458,"Chicopee MA",0
42.18,-72.57,1994,56563,"Chicopee MA",0
42.18,-72.57,1993,56292,"Chicopee MA",0
42.18,-72.57,1968,60900,"Chicopee MA",0
42.18,-72.57,1966,60200,"Chicopee MA",0
42.18,-72.57,1995,55324,"Chicopee MA",0
42.18,-72.57,1991,56440,"Chicopee MA",0
42.18,-72.57,1961,61553,"Chicopee MA",0
42.18,-72.57,1967,63700,"Chicopee MA",0
42.18,-72.57,1970,66676,"Chicopee MA",0
42.18,-72.57,1964,64191,"Chicopee MA",0
41.84,-87.76,1998,71676,"Cicero IL",0
41.84,-87.76,1999,71780,"Cicero IL",0
41.84,-87.76,1969,73700,"Cicero IL",0
41.84,-87.76,1986,61368,"Cicero IL",0
41.84,-87.76,2000,85616,"Cicero IL",0
41.84,-87.76,1962,68464,"Cicero IL",0
41.84,-87.76,2009,79870,"Cicero IL",0
41.84,-87.76,1977,65754,"Cicero IL",0
41.84,-87.76,1987,61780,"Cicero IL",0
41.84,-87.76,2005,83427,"Cicero IL",0
41.84,-87.76,2002,86866,"Cicero IL",0
41.84,-87.76,1990,67436,"Cicero IL",0
41.84,-87.76,1960,69130,"Cicero IL",0
41.84,-87.76,1996,75427,"Cicero IL",0
41.84,-87.76,1988,61284,"Cicero IL",0
